Log start on,2022-12-01 11:34:00
Feature,Accelerometer
Nodes,PROTEUS @262F5E, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
01/12/2022 11:34:07.942,7601,PROTEUS @262F5E,26451,D8FF92007305,-40,146,1395,
01/12/2022 11:34:07.991,7650,PROTEUS @262F5E,26458,C7FF2B004505,-57,43,1349,
01/12/2022 11:34:08.039,7698,PROTEUS @262F5E,26464,CEFFCFFF9204,-50,-49,1170,
01/12/2022 11:34:08.089,7748,PROTEUS @262F5E,26470,0A00B5FFD903,10,-75,985,
01/12/2022 11:34:08.137,7796,PROTEUS @262F5E,26476,F3FF60FFBB02,-13,-160,699,
01/12/2022 11:34:08.186,7845,PROTEUS @262F5E,26483,CDFFBCFF8D02,-51,-68,653,
01/12/2022 11:34:08.235,7894,PROTEUS @262F5E,26489,D5FF11007E03,-43,17,894,
01/12/2022 11:34:08.284,7943,PROTEUS @262F5E,26495,A5FF4500B403,-91,69,948,
01/12/2022 11:34:08.333,7992,PROTEUS @262F5E,26501,B2FF78006E05,-78,120,1390,
01/12/2022 11:34:08.381,8040,PROTEUS @262F5E,26508,CBFF32003B05,-53,50,1339,
01/12/2022 11:34:08.478,8137,PROTEUS @262F5E,26514,C7FFC2FF9104,-57,-62,1169,
01/12/2022 11:34:08.527,8186,PROTEUS @262F5E,26520,0300A5FFAE03,3,-91,942,
01/12/2022 11:34:08.527,8186,PROTEUS @262F5E,26526,FBFF60FFC602,-5,-160,710,
01/12/2022 11:34:08.625,8284,PROTEUS @262F5E,26533,CCFFBCFF9B02,-52,-68,667,
01/12/2022 11:34:08.673,8332,PROTEUS @262F5E,26539,D8FF2D00B603,-40,45,950,
01/12/2022 11:34:08.674,8333,PROTEUS @262F5E,26545,A7FF4A00B003,-89,74,944,
01/12/2022 11:34:08.722,8381,PROTEUS @262F5E,26551,CBFF84006505,-53,132,1381,
01/12/2022 11:34:08.820,8479,PROTEUS @262F5E,26558,C2FF15001B05,-62,21,1307,
01/12/2022 11:34:08.869,8528,PROTEUS @262F5E,26564,CAFFCAFF9304,-54,-54,1171,
01/12/2022 11:34:08.917,8576,PROTEUS @262F5E,26570,F8FFA3FFB703,-8,-93,951,
01/12/2022 11:34:08.967,8626,PROTEUS @262F5E,26576,DEFF54FF9E02,-34,-172,670,
01/12/2022 11:34:09.015,8674,PROTEUS @262F5E,26583,CDFFC0FF8A02,-51,-64,650,
01/12/2022 11:34:09.063,8722,PROTEUS @262F5E,26589,E5FF4100B603,-27,65,950,
01/12/2022 11:34:09.112,8771,PROTEUS @262F5E,26595,9EFF3900A703,-98,57,935,
01/12/2022 11:34:09.161,8820,PROTEUS @262F5E,26601,D4FF8F006F05,-44,143,1391,
01/12/2022 11:34:09.209,8868,PROTEUS @262F5E,26608,DAFF1E001505,-38,30,1301,
01/12/2022 11:34:09.258,8917,PROTEUS @262F5E,26614,D3FFC8FF8C04,-45,-56,1164,
01/12/2022 11:34:09.307,8966,PROTEUS @262F5E,26620,0000AFFFB103,0,-81,945,
01/12/2022 11:34:09.356,9015,PROTEUS @262F5E,26626,F0FF5DFFA502,-16,-163,677,
01/12/2022 11:34:09.405,9064,PROTEUS @262F5E,26633,C9FFAFFF8702,-55,-81,647,
01/12/2022 11:34:09.456,9115,PROTEUS @262F5E,26639,E8FF3900C503,-24,57,965,
01/12/2022 11:34:09.503,9162,PROTEUS @262F5E,26645,B9FF5500F403,-71,85,1012,
01/12/2022 11:34:09.551,9210,PROTEUS @262F5E,26651,CEFF8B005805,-50,139,1368,
01/12/2022 11:34:09.600,9259,PROTEUS @262F5E,26658,D2FF19001605,-46,25,1302,
01/12/2022 11:34:09.648,9307,PROTEUS @262F5E,26664,D8FFC5FF6804,-40,-59,1128,
01/12/2022 11:34:09.697,9356,PROTEUS @262F5E,26670,0400ADFFBB03,4,-83,955,
01/12/2022 11:34:09.746,9405,PROTEUS @262F5E,26676,F3FF67FFA902,-13,-153,681,
01/12/2022 11:34:09.795,9454,PROTEUS @262F5E,26683,C5FFABFF8402,-59,-85,644,
01/12/2022 11:34:09.843,9502,PROTEUS @262F5E,26689,EFFF3F00B303,-17,63,947,
01/12/2022 11:34:09.892,9551,PROTEUS @262F5E,26695,C6FF4000FC03,-58,64,1020,
01/12/2022 11:34:09.941,9600,PROTEUS @262F5E,26701,BDFF83005B05,-67,131,1371,
01/12/2022 11:34:09.990,9649,PROTEUS @262F5E,26708,D2FF1E001E05,-46,30,1310,
01/12/2022 11:34:10.039,9698,PROTEUS @262F5E,26714,D9FFD7FF6504,-39,-41,1125,
01/12/2022 11:34:10.088,9747,PROTEUS @262F5E,26720,FDFF9DFFBF03,-3,-99,959,
01/12/2022 11:34:10.136,9795,PROTEUS @262F5E,26726,E5FF59FFAA02,-27,-167,682,
01/12/2022 11:34:10.185,9844,PROTEUS @262F5E,26733,DCFFC9FFAB02,-36,-55,683,
01/12/2022 11:34:10.234,9893,PROTEUS @262F5E,26739,DFFF31009F03,-33,49,927,
01/12/2022 11:34:10.282,9941,PROTEUS @262F5E,26745,CBFF4A00E203,-53,74,994,
01/12/2022 11:34:10.331,9990,PROTEUS @262F5E,26751,D4FF9A008405,-44,154,1412,
01/12/2022 11:34:10.379,10038,PROTEUS @262F5E,26758,DCFF23001905,-36,35,1305,
01/12/2022 11:34:10.428,10087,PROTEUS @262F5E,26764,CBFFCBFF6A04,-53,-53,1130,
01/12/2022 11:34:10.477,10136,PROTEUS @262F5E,26770,F7FF9BFFC403,-9,-101,964,
01/12/2022 11:34:10.525,10184,PROTEUS @262F5E,26776,EEFF5CFFAC02,-18,-164,684,
01/12/2022 11:34:10.575,10234,PROTEUS @262F5E,26783,D7FFC3FF9F02,-41,-61,671,
