Log start on,2022-12-01 11:31:46
Feature,Accelerometer
Nodes,PROTEUS @262F5E, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
01/12/2022 11:31:49.592,3055,PROTEUS @262F5E,9156,D2FF0E00EB03,-46,14,1003,
01/12/2022 11:31:49.641,3104,PROTEUS @262F5E,9162,D2FF0C00F003,-46,12,1008,
01/12/2022 11:31:49.691,3154,PROTEUS @262F5E,9168,D0FF0D00E703,-48,13,999,
01/12/2022 11:31:49.739,3202,PROTEUS @262F5E,9174,D2FF0E00EB03,-46,14,1003,
01/12/2022 11:31:49.787,3250,PROTEUS @262F5E,9181,D4FF0A00EE03,-44,10,1006,
01/12/2022 11:31:49.836,3299,PROTEUS @262F5E,9187,DBFF0E00F003,-37,14,1008,
01/12/2022 11:31:49.885,3348,PROTEUS @262F5E,9193,D5FF1000EC03,-43,16,1004,
01/12/2022 11:31:49.935,3398,PROTEUS @262F5E,9199,CFFF0B00EF03,-49,11,1007,
01/12/2022 11:31:49.983,3446,PROTEUS @262F5E,9206,D3FF0900E803,-45,9,1000,
01/12/2022 11:31:50.032,3495,PROTEUS @262F5E,9212,D3FF1100ED03,-45,17,1005,
01/12/2022 11:31:50.080,3543,PROTEUS @262F5E,9218,D2FF1100E803,-46,17,1000,
01/12/2022 11:31:50.129,3592,PROTEUS @262F5E,9224,D4FF0D00E803,-44,13,1000,
01/12/2022 11:31:50.178,3641,PROTEUS @262F5E,9231,D6FF0E00EA03,-42,14,1002,
01/12/2022 11:31:50.227,3690,PROTEUS @262F5E,9237,D4FF0600ED03,-44,6,1005,
01/12/2022 11:31:50.276,3739,PROTEUS @262F5E,9243,D1FF1100E903,-47,17,1001,
01/12/2022 11:31:50.324,3787,PROTEUS @262F5E,9249,D2FF0E00EC03,-46,14,1004,
01/12/2022 11:31:50.372,3835,PROTEUS @262F5E,9255,DBFF0F00E903,-37,15,1001,
01/12/2022 11:31:50.422,3885,PROTEUS @262F5E,9262,D1FF0700F103,-47,7,1009,
01/12/2022 11:31:50.469,3932,PROTEUS @262F5E,9268,CEFF0F00E603,-50,15,998,
01/12/2022 11:31:50.519,3982,PROTEUS @262F5E,9274,D4FF0D00EE03,-44,13,1006,
01/12/2022 11:31:50.568,4031,PROTEUS @262F5E,9280,CFFF0F00EC03,-49,15,1004,
01/12/2022 11:31:50.617,4080,PROTEUS @262F5E,9287,CEFF1300E303,-50,19,995,
01/12/2022 11:31:50.665,4128,PROTEUS @262F5E,9293,D8FF0800EF03,-40,8,1007,
01/12/2022 11:31:50.714,4177,PROTEUS @262F5E,9299,D5FF0B00E503,-43,11,997,
01/12/2022 11:31:50.812,4275,PROTEUS @262F5E,9305,D4FF0C00EB03,-44,12,1003,
01/12/2022 11:31:50.860,4323,PROTEUS @262F5E,9312,CFFF0E00F303,-49,14,1011,
01/12/2022 11:31:50.861,4324,PROTEUS @262F5E,9318,D4FF0D00E403,-44,13,996,
01/12/2022 11:31:50.909,4372,PROTEUS @262F5E,9324,D5FF0E00EC03,-43,14,1004,
01/12/2022 11:31:50.958,4421,PROTEUS @262F5E,9330,D0FF0B00F003,-48,11,1008,
01/12/2022 11:31:51.007,4470,PROTEUS @262F5E,9337,D1FF0B00ED03,-47,11,1005,
01/12/2022 11:31:51.056,4519,PROTEUS @262F5E,9343,D7FF0D00E803,-41,13,1000,
01/12/2022 11:31:51.104,4567,PROTEUS @262F5E,9349,D6FF0B00E803,-42,11,1000,
01/12/2022 11:31:51.202,4665,PROTEUS @262F5E,9355,CEFF0C00F003,-50,12,1008,
01/12/2022 11:31:51.250,4713,PROTEUS @262F5E,9362,D1FF0F00ED03,-47,15,1005,
01/12/2022 11:31:51.298,4761,PROTEUS @262F5E,9368,D5FF0F00EA03,-43,15,1002,
01/12/2022 11:31:51.347,4810,PROTEUS @262F5E,9374,D7FF0B00E303,-41,11,995,
01/12/2022 11:31:51.397,4860,PROTEUS @262F5E,9380,D2FF0C00F403,-46,12,1012,
01/12/2022 11:31:51.445,4908,PROTEUS @262F5E,9386,CDFF0900E503,-51,9,997,
01/12/2022 11:31:51.494,4957,PROTEUS @262F5E,9393,CCFF1100EA03,-52,17,1002,
01/12/2022 11:31:51.543,5006,PROTEUS @262F5E,9399,D2FF0A00EE03,-46,10,1006,
01/12/2022 11:31:51.592,5055,PROTEUS @262F5E,9405,D4FF0E00E503,-44,14,997,
01/12/2022 11:31:51.640,5103,PROTEUS @262F5E,9411,D0FF0600EE03,-48,6,1006,
01/12/2022 11:31:51.689,5152,PROTEUS @262F5E,9418,D1FF0B00EB03,-47,11,1003,
01/12/2022 11:31:51.737,5200,PROTEUS @262F5E,9424,CEFF0D00ED03,-50,13,1005,
01/12/2022 11:31:51.786,5249,PROTEUS @262F5E,9430,CFFF0F00E403,-49,15,996,
01/12/2022 11:31:51.836,5299,PROTEUS @262F5E,9436,D2FF1000EB03,-46,16,1003,
01/12/2022 11:31:51.884,5347,PROTEUS @262F5E,9443,D8FF0B00EA03,-40,11,1002,
01/12/2022 11:31:51.932,5395,PROTEUS @262F5E,9449,D3FF0C00EF03,-45,12,1007,
01/12/2022 11:31:51.981,5444,PROTEUS @262F5E,9455,D2FF0F00ED03,-46,15,1005,
01/12/2022 11:31:52.030,5493,PROTEUS @262F5E,9461,DAFF0E00EB03,-38,14,1003,
01/12/2022 11:31:52.079,5542,PROTEUS @262F5E,9468,CEFF0D00EE03,-50,13,1006,
01/12/2022 11:31:52.127,5590,PROTEUS @262F5E,9474,D0FF0E00ED03,-48,14,1005,
01/12/2022 11:31:52.177,5640,PROTEUS @262F5E,9480,D5FF1100E403,-43,17,996,
01/12/2022 11:31:52.224,5687,PROTEUS @262F5E,9486,D5FF0D00EA03,-43,13,1002,
01/12/2022 11:31:52.273,5736,PROTEUS @262F5E,9493,CFFF0A00F203,-49,10,1010,
01/12/2022 11:31:52.322,5785,PROTEUS @262F5E,9499,D2FF0C00EC03,-46,12,1004,
01/12/2022 11:31:52.372,5835,PROTEUS @262F5E,9505,D2FF0A00EB03,-46,10,1003,
01/12/2022 11:31:52.420,5883,PROTEUS @262F5E,9511,D1FF0800E603,-47,8,998,
01/12/2022 11:31:52.469,5932,PROTEUS @262F5E,9518,CFFF0E00E903,-49,14,1001,
01/12/2022 11:31:52.518,5981,PROTEUS @262F5E,9524,D7FF0A00E803,-41,10,1000,
01/12/2022 11:31:52.566,6029,PROTEUS @262F5E,9530,CFFF1000E903,-49,16,1001,
01/12/2022 11:31:52.616,6079,PROTEUS @262F5E,9536,D4FF0A00EE03,-44,10,1006,
01/12/2022 11:31:52.664,6127,PROTEUS @262F5E,9542,D9FF1200E303,-39,18,995,
01/12/2022 11:31:52.713,6176,PROTEUS @262F5E,9549,D4FF1000E903,-44,16,1001,
01/12/2022 11:31:52.761,6224,PROTEUS @262F5E,9555,CBFF0C00EF03,-53,12,1007,
01/12/2022 11:31:52.810,6273,PROTEUS @262F5E,9561,D2FF0F00ED03,-46,15,1005,
01/12/2022 11:31:52.859,6322,PROTEUS @262F5E,9567,CEFF1200E903,-50,18,1001,
01/12/2022 11:31:52.908,6371,PROTEUS @262F5E,9574,DAFF0A00EA03,-38,10,1002,
01/12/2022 11:31:52.956,6419,PROTEUS @262F5E,9580,D0FF1000EF03,-48,16,1007,
01/12/2022 11:31:53.005,6468,PROTEUS @262F5E,9586,D7FF0E00EA03,-41,14,1002,
01/12/2022 11:31:53.054,6517,PROTEUS @262F5E,9592,DBFF0F00E603,-37,15,998,
01/12/2022 11:31:53.103,6566,PROTEUS @262F5E,9599,D2FF0F00E903,-46,15,1001,
01/12/2022 11:31:53.152,6615,PROTEUS @262F5E,9605,CDFF0A00EB03,-51,10,1003,
01/12/2022 11:31:53.200,6663,PROTEUS @262F5E,9611,D6FF1300EC03,-42,19,1004,
01/12/2022 11:31:53.298,6761,PROTEUS @262F5E,9617,D7FF0A00EA03,-41,10,1002,
01/12/2022 11:31:53.346,6809,PROTEUS @262F5E,9624,D6FF1500E103,-42,21,993,
01/12/2022 11:31:53.396,6859,PROTEUS @262F5E,9630,D4FF0C00EE03,-44,12,1006,
01/12/2022 11:31:53.444,6907,PROTEUS @262F5E,9636,D4FF0C00E403,-44,12,996,
01/12/2022 11:31:53.493,6956,PROTEUS @262F5E,9642,D7FF1100EE03,-41,17,1006,
01/12/2022 11:31:53.542,7005,PROTEUS @262F5E,9649,CCFF0900EF03,-52,9,1007,
01/12/2022 11:31:53.590,7053,PROTEUS @262F5E,9655,D3FF1000EA03,-45,16,1002,
01/12/2022 11:31:53.639,7102,PROTEUS @262F5E,9661,D2FF0F00EA03,-46,15,1002,
01/12/2022 11:31:53.688,7151,PROTEUS @262F5E,9667,D5FF1100EC03,-43,17,1004,
01/12/2022 11:31:53.736,7199,PROTEUS @262F5E,9674,D4FF0E00F203,-44,14,1010,
01/12/2022 11:31:53.785,7248,PROTEUS @262F5E,9680,D6FF0600EC03,-42,6,1004,
